timestamp,ear,mar,p_drowsy,state
2025-11-24 07:02:36,0.203,0.026,0.97,fatigue_level_2
2025-11-24 07:02:37,0.196,0.000,0.98,fatigue_level_2
2025-11-24 07:02:37,0.214,0.000,0.93,fatigue_level_2
2025-11-24 07:03:24,0.198,0.046,0.98,fatigue_level_2
2025-11-24 07:03:33,0.179,0.073,0.99,fatigue_level_2
2025-11-24 07:03:34,0.215,0.024,0.93,fatigue_level_2
2025-11-24 07:03:36,0.211,0.000,0.95,fatigue_level_2
2025-11-24 07:03:42,0.198,0.075,0.98,fatigue_level_2
2025-11-24 07:03:48,0.189,0.000,0.99,fatigue_level_2
2025-11-24 07:03:57,0.061,0.047,1.00,fatigue_level_2
2025-11-24 07:03:57,0.215,0.023,0.93,fatigue_level_2
2025-11-24 07:03:58,0.212,0.024,0.94,fatigue_level_2
2025-11-24 07:04:00,0.206,0.024,0.96,fatigue_level_2
2025-11-24 07:04:00,0.208,0.000,0.95,fatigue_level_2
2025-11-24 07:04:01,0.190,0.093,0.99,fatigue_level_2
2025-11-24 07:04:01,0.166,0.023,1.00,fatigue_level_2
2025-11-24 07:04:01,0.207,0.024,0.96,fatigue_level_2
2025-11-24 07:04:04,0.212,0.052,0.95,fatigue_level_2
2025-11-24 07:04:04,0.217,0.048,0.93,fatigue_level_2
2025-11-24 07:04:04,0.211,0.024,0.95,fatigue_level_2
2025-11-24 07:04:04,0.216,0.071,0.93,fatigue_level_2
2025-11-24 07:04:05,0.212,0.098,0.95,fatigue_level_2
2025-11-24 07:04:05,0.216,0.000,0.92,fatigue_level_2
2025-11-24 07:04:05,0.216,0.000,0.92,fatigue_level_2
2025-11-24 07:04:05,0.195,0.025,0.98,fatigue_level_2
2025-11-24 07:04:06,0.023,0.095,1.00,fatigue_level_2
2025-11-24 07:04:06,0.220,0.000,0.91,fatigue_level_2
2025-11-24 07:04:06,0.216,0.000,0.92,fatigue_level_2
2025-11-24 07:04:06,0.206,0.000,0.96,fatigue_level_2
2025-11-24 07:04:06,0.206,0.000,0.96,fatigue_level_2
2025-11-24 07:04:06,0.207,0.000,0.96,fatigue_level_2
